Banco,Producto,Tasa,Moneda,Fecha de registro,Observaciones
Banco_de_la_Nación,Tasas Tarjeta de Crédito,MN: 27.0% | ME: 32.0%,AMBAS,15/05/2018,Tipo: TASA | Tasa de interés anual para compras con tarjeta de crédito clásica revolvente. | Compras | Periodicidad: Anual | Cliente: Persona Natural | Categoría: Compras
Banco_de_la_Nación,Tasas Tarjeta de Crédito,MN: 27.0% | ME: 32.0%,AMBAS,15/05/2018,Tipo: TASA | Tasa de interés anual por disposición de efectivo con tarjeta de crédito clásica revolvente. | Disposición de efectivo | Periodicidad: Anual | Cliente: Persona Natural | Categoría: Disposición de efectivo
Banco_de_la_Nación,Tasas Tarjeta de Crédito,MN: 20.0% | ME: 25.0%,AMBAS,15/05/2018,Tipo: TASA | Tasa de interés anual para compras en cuotas con tarjeta de crédito clásica. | Compras | Periodicidad: Anual | Condiciones: HASTA 12 MESES | Cliente: Persona Natural | Categoría: Compras
Banco_de_la_Nación,Tasas Tarjeta de Crédito,MN: 25.0% | ME: 26.0%,AMBAS,15/05/2018,Tipo: TASA | Tasa de interés anual por disposición de efectivo en cuotas con tarjeta de crédito clásica. | Disposición de efectivo | Periodicidad: Anual | Condiciones: DE 13 A 24 MESES | Cliente: Persona Natural | Categoría: Disposición de efectivo
Banco_de_la_Nación,Tasas Tarjeta de Crédito,MN: 18.0% | ME: 23.0%,AMBAS,2025-10-24,Tipo: TASA | Tasa de interés anual para compras en cuotas con tarjeta de crédito Gold. | Compras | Periodicidad: Anual | Condiciones: HASTA 12 MESES | Cliente: Persona Natural | Categoría: Compras
Banco_de_la_Nación,Tasas Tarjeta de Crédito,MN: 23.0% | ME: 24.0%,AMBAS,15/05/2018,Tipo: TASA | Tasa de interés anual por disposición de efectivo en cuotas con tarjeta de crédito Gold. | Disposición de efectivo | Periodicidad: Anual | Condiciones: DE 13 A 24 MESES | Cliente: Persona Natural | Categoría: Disposición de efectivo
Banco_de_la_Nación,Tasas Tarjeta de Crédito,MN: 14.0% | ME: 19.0%,AMBAS,2025-10-24,Tipo: TASA | Tasa de interés anual para compras en cuotas con tarjeta de crédito Platinum. | Compras | Periodicidad: Anual | Condiciones: HASTA 12 MESES | Cliente: Persona Natural | Categoría: Compras
Banco_de_la_Nación,Tasas Tarjeta de Crédito,MN: 19.0% | ME: 20.0%,AMBAS,2025-10-24,Tipo: TASA | Tasa de interés anual por disposición de efectivo en cuotas con tarjeta de crédito Platinum. | Disposición de efectivo | Periodicidad: Anual | Condiciones: DE 13 A 24 MESES | Cliente: Persona Natural | Categoría: Disposición de efectivo
Banco_de_la_Nación,Tasas Tarjeta de Crédito,MN: 11.79%,MN,10/05/2021,Tipo: TASA | Tasa de interés anual nominal por mora en el pago de la tarjeta de crédito. | TASA DE INTERÉS MORATORIO (b) | Periodicidad: Anual | Cliente: Persona Natural | Categoría: Moratoria
Banco_de_la_Nación,Tasas Tarjeta de Crédito,MN: S/ 0.0,MN,06/01/2014,Tipo: COMISION | Costo anual por el servicio de membresía de la tarjeta de crédito. | 1. Membresía anual | Periodicidad: Mensual | Cliente: Persona Natural | Categoría: Membresía
