Banco,Producto_Codigo,Producto_Nombre,Concepto,Descripcion_Breve,Tipo,Tasa_Porcentaje_MN,Tasa_Porcentaje_ME,Monto_Fijo_MN,Monto_Fijo_ME,Monto_Minimo_MN,Monto_Maximo_MN,Monto_Minimo_ME,Monto_Maximo_ME,Moneda,Fecha_Vigencia,Fecha_Extraccion,Periodicidad,Oportunidad_Cobro,Observaciones
Banco_de_la_Nación,tasas-tarjeta-credito,Tasas Tarjeta de Crédito,TARJETA CLÁSICA,Tasa de interés anual para compras con tarjeta de crédito clásica revolvente.,TASA,27.0,32.0,,,,,,,AMBAS,15/05/2018,2025-10-24,Anual,,Compras | Cliente: Persona Natural
Banco_de_la_Nación,tasas-tarjeta-credito,Tasas Tarjeta de Crédito,TARJETA CLÁSICA,Tasa de interés anual por disposición de efectivo con tarjeta de crédito clásica revolvente.,TASA,27.0,32.0,,,,,,,AMBAS,15/05/2018,2025-10-24,Anual,,Disposición de efectivo | Cliente: Persona Natural
Banco_de_la_Nación,tasas-tarjeta-credito,Tasas Tarjeta de Crédito,TARJETA CLÁSICA,Tasa de interés anual para compras en cuotas con tarjeta de crédito clásica.,TASA,20.0,25.0,,,,,,,AMBAS,15/05/2018,2025-10-24,Anual,,Compras | Condiciones: HASTA 12 MESES | Cliente: Persona Natural
Banco_de_la_Nación,tasas-tarjeta-credito,Tasas Tarjeta de Crédito,TARJETA CLÁSICA,Tasa de interés anual por disposición de efectivo en cuotas con tarjeta de crédito clásica.,TASA,25.0,26.0,,,,,,,AMBAS,15/05/2018,2025-10-24,Anual,,Disposición de efectivo | Condiciones: DE 13 A 24 MESES | Cliente: Persona Natural
Banco_de_la_Nación,tasas-tarjeta-credito,Tasas Tarjeta de Crédito,TARJETA GOLD (ORO),Tasa de interés anual para compras en cuotas con tarjeta de crédito Gold.,TASA,18.0,23.0,,,,,,,AMBAS,,2025-10-24,Anual,,Compras | Condiciones: HASTA 12 MESES | Cliente: Persona Natural
Banco_de_la_Nación,tasas-tarjeta-credito,Tasas Tarjeta de Crédito,TARJETA GOLD (ORO),Tasa de interés anual por disposición de efectivo en cuotas con tarjeta de crédito Gold.,TASA,23.0,24.0,,,,,,,AMBAS,15/05/2018,2025-10-24,Anual,,Disposición de efectivo | Condiciones: DE 13 A 24 MESES | Cliente: Persona Natural
Banco_de_la_Nación,tasas-tarjeta-credito,Tasas Tarjeta de Crédito,TARJETA PLATINUM (PLATINO),Tasa de interés anual para compras en cuotas con tarjeta de crédito Platinum.,TASA,14.0,19.0,,,,,,,AMBAS,,2025-10-24,Anual,,Compras | Condiciones: HASTA 12 MESES | Cliente: Persona Natural
Banco_de_la_Nación,tasas-tarjeta-credito,Tasas Tarjeta de Crédito,TARJETA PLATINUM (PLATINO),Tasa de interés anual por disposición de efectivo en cuotas con tarjeta de crédito Platinum.,TASA,19.0,20.0,,,,,,,AMBAS,,2025-10-24,Anual,,Disposición de efectivo | Condiciones: DE 13 A 24 MESES | Cliente: Persona Natural
Banco_de_la_Nación,tasas-tarjeta-credito,Tasas Tarjeta de Crédito,TASA DE INTERÉS MORATORIO,Tasa de interés anual nominal por mora en el pago de la tarjeta de crédito.,TASA,11.79,,,,,,,,MN,10/05/2021,2025-10-24,Anual,,TASA DE INTERÉS MORATORIO (b) | Cliente: Persona Natural
Banco_de_la_Nación,tasas-tarjeta-credito,Tasas Tarjeta de Crédito,MEMBRESÍA ANUAL,Costo anual por el servicio de membresía de la tarjeta de crédito.,COMISION,,,0.0,,,,,,MN,06/01/2014,2025-10-24,Mensual,,1. Membresía anual | Cliente: Persona Natural
Banco_de_la_Nación,tasas-tarjeta-credito,Tasas Tarjeta de Crédito,ENVÍO FÍSICO DE ESTADO DE CUENTA,Costo por envío físico del estado de cuenta de la tarjeta de crédito.,COMISION,,,6.0,,,,,,MN,06/01/2014,2025-10-24,Mensual,,1. Envío físico de estado de cuenta (d) | Cliente: Persona Natural
Banco_de_la_Nación,tasas-tarjeta-credito,Tasas Tarjeta de Crédito,CONVERSIÓN DE MONEDA,Comisión por conversión de moneda extranjera a nacional en consumos o disposición de efectivo.,COMISION,,1.0,,,,,,,ME,,2025-10-24,Por operación,,1. Conversión de moneda extranjera a nacional por consumos o disposición de efectivo (e) | Cliente: Persona Natural
Banco_de_la_Nación,tasas-tarjeta-credito,Tasas Tarjeta de Crédito,RETIRO DE EFECTIVO EN CAJERO AUTOMÁTICO DE OTROS BANCOS,Costo por retiro de efectivo en cajeros automáticos de otros bancos.,COMISION,,,5.0,,,,,,MN,,2025-10-24,Por operación,,2.Retiro de efectivo en cajero automático de otros bancos (f) | Cliente: Persona Natural
Banco_de_la_Nación,tasas-tarjeta-credito,Tasas Tarjeta de Crédito,CONSULTA DE SALDOS EN CAJERO AUTOMÁTICO,Costo por consulta de saldos en cajeros automáticos.,COMISION,,,1.0,,,,,,MN,,2025-10-24,Por operación,,3.Consulta de saldos en cajero automático | Cliente: Persona Natural
Banco_de_la_Nación,tasas-tarjeta-credito,Tasas Tarjeta de Crédito,CONSULTA DE ÚLTIMOS MOVIMIENTOS EN CAJERO AUTOMÁTICO,Costo por consulta de últimos movimientos en cajeros automáticos.,COMISION,,,1.0,,,,,,MN,,2025-10-24,Por operación,,4.Consulta de últimos movimientos en cajero automático (h) | Cliente: Persona Natural
Banco_de_la_Nación,tasas-tarjeta-credito,Tasas Tarjeta de Crédito,CONSULTA DE SALDOS Y ÚLTIMOS MOVIMIENTOS EN CAJERO CORRESPONSAL,Costo por consulta de saldos y últimos movimientos en cajeros corresponsales.,COMISION,,,0.5,,,,,,MN,,2025-10-24,Por operación,,5.Consulta de saldos y últimos movimientos en cajero corresponsal (h) | Cliente: Persona Natural
Banco_de_la_Nación,tasas-tarjeta-credito,Tasas Tarjeta de Crédito,MODIFICACIÓN DE FECHA DE PAGO SOLICITADA POR EL CLIENTE,Costo por solicitar la modificación de la fecha de pago de la tarjeta de crédito.,COMISION,,,9.0,,,,,,MN,,2025-10-24,Por modificación,,1.Modificación de fecha de pago solicitada por el cliente (g) (i) | Cliente: Persona Natural
Banco_de_la_Nación,tasas-tarjeta-credito,Tasas Tarjeta de Crédito,MODIFICACIÓN DE SISTEMA DE PAGO A SOLICITUD DEL CLIENTE,Costo por solicitar cambio de sistema de pago (revolvente a cuotas y viceversa).,COMISION,,,9.0,,,,,,MN,,2025-10-24,Por modificación,,"2.Sistema de pago | 1.Modificación de sistema de pago a solicitud del cliente (de revoelvencia a cuotas, viceversa) | Cliente: Persona Natural"
Banco_de_la_Nación,tasas-tarjeta-credito,Tasas Tarjeta de Crédito,MODIFICACIÓN DE PROGRAMACIÓN DE CUOTAS A SOLICITUD DE CLIENTE,"Costo por solicitar reprogramación de cuotas, no por dificultades de pago.",COMISION,,,9.0,,,,,,MN,,2025-10-24,Por modificación,,3.Reprogramación | 1.Modificación de programación de cuotas a solicitud de cliente (no obedece a dificultades de capacidad de pago) | Cliente: Persona Natural
Banco_de_la_Nación,tasas-tarjeta-credito,Tasas Tarjeta de Crédito,DUPLICADO DE TARJETA,"Costo por emisión de duplicado de tarjeta de crédito por robo, pérdida o deterioro.",COMISION,,,6.0,,,,,,MN,,2025-10-24,Por duplicado,,1.Reposición de tarjeta de crédito | 1.Duplicado de tarjeta (j) | Cliente: Persona Natural
Banco_de_la_Nación,tasas-tarjeta-credito,Tasas Tarjeta de Crédito,EMISIÓN DE TARJETAS ADICIONALES,Costo por emisión de tarjetas de crédito adicionales o opcionales.,COMISION,,,0.0,0.0,,,,,AMBAS,,2025-10-24,,,2.Tarjeta de crédito adicional y/u opcional | 1.Emisión de tarjetas adicionales | Cliente: Persona Natural
Banco_de_la_Nación,tasas-tarjeta-credito,Tasas Tarjeta de Crédito,SEGURO DE DESGRAVAMEN MENSUAL,Costo mensual del seguro de desgravamen para la tarjeta de crédito.,GASTO,0.419,,,,,8.9,,,MN,25/04/2023,2025-10-24,Mensual,,SEGURO DE DESGRAVAMEN MENSUAL (c) | Cliente: Persona Natural
Banco_de_la_Nación,tasas-tarjeta-credito,Tasas Tarjeta de Crédito,CONSTANCIA SOLICITADA POR EL CLIENTE,Costo por solicitar constancia de la tarjeta de crédito.,COMISION,,,8.5,,,,,,MN,,2025-10-24,Por constancia,,1. Constancias | 1. Constancia solicitada por el cliente (g) | Cliente: Persona Natural
Banco_de_la_Nación,tasas-tarjeta-credito,Tasas Tarjeta de Crédito,EMISIÓN DE LA SEGUNDA Y SIGUIENTES CONSTANCIAS DE NO ADEUDO,Costo por emisión de la segunda y siguientes constancias de no adeudo.,COMISION,,,15.0,,,,,,MN,,2025-10-24,Por operación,,2. Emisión de la segunda y siguientes constancias de no adeudo (g) | Cliente: Persona Natural
